,league,Date,Time,Home,Away,Odd_H_Open,Odd_D_Open,Odd_A_Open,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
1,E0,04/01/2025,12:30,Tottenham,Newcastle,3.05,4.1,2.3,1.37,3.6,0.25,1.96,2.02
2,E0,04/01/2025,15:00,Aston Villa,Leicester,1.35,5.9,10.5,1.53,2.78,-1.5,1.93,2.04
3,E0,04/01/2025,15:00,Bournemouth,Everton,1.78,4.0,5.2,1.92,2.06,-0.75,1.99,1.99
4,E0,04/01/2025,15:00,Crystal Palace,Chelsea,3.9,4.0,2.0,1.62,2.54,0.5,1.98,2.0
5,E0,04/01/2025,15:00,Man City,West Ham,1.33,6.8,9.4,1.39,3.4,-1.5,1.87,2.11
6,E0,04/01/2025,15:00,Southampton,Brentford,2.92,3.65,2.58,1.71,2.38,0.25,1.8,2.22
7,E0,04/01/2025,17:30,Brighton,Arsenal,4.7,4.0,1.83,1.76,2.28,0.75,1.91,2.06
11,E1,04/01/2025,12:30,Blackburn,Burnley,3.65,3.3,2.32,2.62,1.6,0.25,2.01,1.96
12,E1,04/01/2025,12:30,Stoke,Plymouth,1.68,4.3,5.1,1.73,2.36,-0.75,1.85,2.1
13,E1,04/01/2025,12:30,Swansea,West Brom,2.7,3.4,2.96,2.12,1.86,0.0,1.9,2.08
14,E1,04/01/2025,15:00,Bristol City,Derby,2.02,3.4,4.6,2.44,1.67,-0.5,2.02,1.95
15,E1,04/01/2025,15:00,Hull,Leeds,6.4,4.4,1.6,2.0,1.98,1.0,1.92,2.05
16,E1,04/01/2025,15:00,Middlesbrough,Cardiff,1.61,4.6,6.0,1.78,2.24,-1.0,2.0,1.93
17,E1,04/01/2025,15:00,Norwich,Coventry,2.48,3.6,3.0,1.91,2.08,-0.25,2.14,1.84
18,E1,04/01/2025,15:00,Preston,Oxford,1.87,3.65,4.9,2.34,1.73,-0.5,1.87,2.12
19,E1,04/01/2025,15:00,Sheffield Weds,Millwall,2.28,3.3,3.7,2.64,1.6,-0.25,1.94,2.03
20,E1,04/01/2025,15:00,Watford,Sheffield United,2.96,3.55,2.56,2.16,1.85,0.0,2.14,1.85
23,E2,04/01/2025,12:30,Burton,Northampton,2.28,3.35,3.6,2.38,1.66,-0.25,1.94,2.02
24,E2,04/01/2025,12:30,Cambridge,Bristol Rvs,2.16,3.45,3.8,2.04,1.91,-0.25,1.85,2.11
25,E2,04/01/2025,15:00,Barnsley,Crawley Town,1.59,4.3,5.6,1.59,2.4,-1.0,1.95,1.89
26,E2,04/01/2025,15:00,Charlton,Reading,1.82,3.9,4.9,1.86,1.99,-0.75,2.04,1.91
27,E2,04/01/2025,15:00,Exeter,Bolton,3.3,3.5,2.22,1.83,2.0,0.25,1.96,1.92
28,E2,04/01/2025,15:00,Huddersfield,Rotherham,1.78,3.75,5.0,1.91,1.77,-0.75,2.01,1.9
29,E2,04/01/2025,15:00,Leyton Orient,Shrewsbury,1.57,4.0,6.6,1.96,1.76,-1.0,1.92,2.0
30,E2,04/01/2025,15:00,Lincoln,Stevenage,2.16,3.1,4.0,2.46,1.52,-0.5,2.16,1.76
31,E2,04/01/2025,15:00,Stockport,Mansfield,2.08,3.6,3.85,1.99,1.87,-0.5,2.09,1.89
32,E2,04/01/2025,15:00,Wigan,Birmingham,4.9,3.45,1.81,2.18,1.71,0.75,1.78,2.01
33,E2,04/01/2025,15:00,Wrexham,Peterboro,1.68,4.4,5.0,1.66,2.26,-0.75,1.84,2.08
34,E2,04/01/2025,15:00,Wycombe,Blackpool,1.99,3.7,4.3,1.99,1.96,-0.5,1.99,1.98
35,E3,04/01/2025,12:30,Cheltenham,Walsall,3.9,3.4,2.02,2.06,1.79,0.5,1.9,2.02
36,E3,04/01/2025,12:30,Notts County,Swindon,1.71,4.1,4.4,1.62,2.28,-0.75,1.88,1.88
37,E3,04/01/2025,13:00,Bradford,Grimsby,1.95,3.5,4.7,1.99,1.78,-0.5,1.95,2.01
38,E3,04/01/2025,15:00,Barrow,Harrogate,1.72,3.8,5.9,2.04,1.69,-0.75,1.95,2.01
39,E3,04/01/2025,15:00,Colchester,Accrington,1.84,3.55,4.6,1.97,1.85,-0.5,1.84,2.08
40,E3,04/01/2025,15:00,Doncaster,Port Vale,1.98,3.55,4.2,1.98,1.82,-0.5,1.98,2.0
41,E3,04/01/2025,15:00,Milton Keynes Dons,Salford,2.4,3.45,3.25,1.94,1.87,-0.25,2.05,1.89
42,E3,04/01/2025,15:00,Tranmere,Carlisle,2.28,3.4,3.35,1.88,1.83,-0.25,1.95,1.98
47,EC,04/01/2025,15:00,Halifax,Fylde,1.74,3.8,5.0,1.71,2.02,-0.75,1.94,1.9
49,F1,04/01/2025,16:00,St Etienne,Reims,3.75,3.5,2.16,2.02,1.92,0.25,2.12,1.86
50,F1,04/01/2025,18:00,Lille,Nantes,1.56,4.3,6.2,2.04,1.93,-1.0,1.94,1.98
51,F1,04/01/2025,20:00,Lyon,Montpellier,1.35,6.2,9.6,1.42,3.1,-1.5,1.91,2.04
62,F2,04/01/2025,13:00,Guingamp,Dunkerque,2.02,3.2,3.5,1.92,1.79,-0.25,1.76,1.98
63,F2,04/01/2025,13:00,Metz,Pau FC,1.68,3.7,4.7,2.04,1.79,-0.75,1.89,1.87
64,F2,04/01/2025,19:00,Laval,Lorient,4.3,3.45,1.77,2.08,1.75,0.5,2.03,1.77
65,G1,04/01/2025,15:00,Athens Kallithea,Lamia,2.3,3.05,3.55,2.28,1.56,-0.25,1.95,1.91
72,I1,04/01/2025,14:00,Venezia,Empoli,2.42,3.2,3.6,2.34,1.71,-0.25,2.04,1.94
73,I1,04/01/2025,17:00,Fiorentina,Napoli,3.0,3.3,2.72,2.18,1.81,0.0,2.09,1.89
74,I1,04/01/2025,19:45,Verona,Udinese,3.25,3.15,2.64,2.14,1.85,0.25,1.8,2.22
81,P1,04/01/2025,15:30,Moreirense,AVS,1.85,3.45,5.4,2.52,1.34,-0.5,1.85,2.12
