,league,Date,Time,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
5,B1,07/12/2025,12:30,Mechelen,Charleroi,3.2,3.35,2.4,1.81,2.04,0.25,1.84,2.06
6,B1,07/12/2025,15:00,Westerlo,Anderlecht,3.1,3.5,2.34,1.63,2.36,0.25,0.0,0.0
7,B1,07/12/2025,17:30,Antwerp,Genk,3.55,3.65,2.24,1.87,1.99,0.25,0.0,0.0
8,B1,07/12/2025,18:15,Oud-Heverlee Leuven,Waregem,2.12,3.35,3.9,1.92,1.94,-0.25,0.0,0.0
16,D1,07/12/2025,14:30,Hamburg,Werder Bremen,2.4,3.6,3.05,1.72,2.3,-0.25,2.09,1.87
17,D1,07/12/2025,16:30,Dortmund,Hoffenheim,1.63,4.7,5.4,1.52,2.78,-1.0,2.02,1.92
24,D2,07/12/2025,12:30,Braunschweig,Holstein Kiel,2.9,3.6,2.38,1.72,2.22,0.0,2.14,1.77
25,D2,07/12/2025,12:30,Hertha,Magdeburg,1.92,3.85,4.2,1.6,2.44,-0.5,1.92,2.03
26,D2,07/12/2025,12:30,Nurnberg,Greuther Furth,1.81,4.2,4.2,1.51,2.62,-0.75,1.95,1.87
34,E0,07/12/2025,14:00,Brighton,West Ham,1.59,4.7,6.0,1.66,2.44,-1.0,1.95,2.03
35,E0,07/12/2025,16:30,Fulham,Crystal Palace,2.68,3.4,2.94,2.18,1.82,0.0,1.9,2.08
64,F1,07/12/2025,14:00,Nice,Angers,2.08,3.65,3.85,1.91,2.0,-0.5,2.08,1.89
65,F1,07/12/2025,16:15,Auxerre,Metz,2.06,3.5,4.0,2.04,1.89,-0.5,2.06,1.92
66,F1,07/12/2025,16:15,Le Havre,Paris FC,2.78,3.35,2.78,2.1,1.84,0.0,1.96,1.96
67,F1,07/12/2025,19:45,Lorient,Lyon,3.3,3.6,2.34,1.9,2.04,0.25,1.96,2.01
79,G1,07/12/2025,15:00,Asteras Tripolis,Levadeiakos,2.76,3.3,2.28,1.93,1.7,0.25,0.0,0.0
80,G1,07/12/2025,15:30,Larisa,Panathinaikos,6.4,4.1,1.45,1.68,2.02,1.25,0.0,0.0
